name,economic_condition,fiscal_analysis,fiscal_stance,fiscal_stance_dum,monetary_policy,no_topic,other_policies,risk
20101021,0.0,-0.25,-0.9,0.4666666666666667,0.0,0,-0.375,0.0
20150209,0.0,0.0,-0.4166666666666667,0.5833333333333334,0.0,0,-0.6,0.0
20090924,0.0,0.0,-0.1111111111111111,0.3888888888888889,0.0,0,0.0,0.0
20160721,0.0,1.0,0.4375,0.5,0.0,0,0.0,0.0
20130719,0.0,-0.1875,-0.425,0.65,0.5,0,-0.4,0.0
20110709,0.0,0.0,-0.7222222222222222,0.6666666666666666,0.0,0,0.0,-0.5
20130221,0.0,0.25,-0.3333333333333333,0.6666666666666666,0.0,0,0.3333333333333333,0.0
20100604,0.0,-0.2857142857142857,-0.2777777777777778,0.5555555555555556,0.0,0,0.0,0.0
20091107,0.0,0.0,-0.5128205128205128,0.5897435897435898,0.0,0,-0.1111111111111111,0.0
20170705,0.0,-0.16666666666666666,0.0,0.36363636363636365,0.0,0,0.0,0.0
20110415,0.0,-0.7857142857142857,-0.6923076923076923,0.38461538461538464,0.0,0,-0.5,0.0
20140917,0.0,0.0,-0.23529411764705882,0.5294117647058824,0.0,0,0.0,0.0
20100904,0.0,0.0,-0.39814814814814814,0.4074074074074074,0.0,0,0.14285714285714285,0.0
20160226,0.0,0.5,0.2222222222222222,0.7777777777777778,0.0,0,0.0,0.0
20160901,0.0,0.125,0.18181818181818182,0.36363636363636365,0.0,0,0.0,0.0
20090903,0.0,-0.125,-0.23076923076923078,0.6923076923076923,0.0,0,0.0,0.0
20100627,0.0,-0.17540322580645162,-0.19875,0.3,0.3333333333333333,0,0.2222222222222222,-0.25
20170314,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0,-0.375,0.0
20130905,0.0,0.3333333333333333,-0.5714285714285714,0.5,0.0,0,0.8,0.0
20141115,0.0,0.0,-0.21428571428571427,0.5714285714285714,0.0,0,0.0,0.0
20120120,0.0,0.0,-0.46875,0.8125,0.0,0,0.0,0.0
20151115,0.0,-0.5,0.02631578947368421,0.47368421052631576,0.0,0,0.0,0.0
20110218,0.0,-0.5,-0.5833333333333334,0.7333333333333333,0.0,0,-1.1666666666666667,0.0
20111015,0.0,-0.21428571428571427,-0.36363636363636365,0.36363636363636365,0.0,0,-1.0,0.0
20101112,0.0,-0.058823529411764705,-0.041666666666666664,0.25,0.0,0,0.25,0.0
20100423,0.0,-0.42857142857142855,-0.9090909090909091,0.5454545454545454,0.0,0,0.0,0.0
20140219,0.0,0.14285714285714285,-0.5277777777777778,0.5,0.0,0,1.0,0.0
20100227,0.0,-0.18181818181818182,-0.3611111111111111,0.37037037037037035,0.0,0,0.25,0.0
20120225,0.0,0.25,-0.45454545454545453,0.6363636363636364,0.0,0,0.0,0.0
20130418,0.0,0.0,-1.1818181818181819,0.8181818181818182,0.0,0,0.0,0.0
20090708,0.0,0.08333333333333333,-0.3157894736842105,0.39473684210526316,0.0,0,0.0,0.0
20150904,0.0,0.0,-0.25,0.7142857142857143,0.0,0,-0.3333333333333333,0.0
20121105,0.0,-0.6,-0.20588235294117646,0.7058823529411765,0.0,0,0.0,0.0
20171006,0.3333333333333333,-0.18181818181818182,0.14285714285714285,0.42857142857142855,0.0,0,0.5833333333333334,0.0
