,topword
0,may
1,tighten
2,monetary
3,accommodative
4,lower
5,tightening
6,durable
7,sight
8,rate
9,appropriate
10,run
11,easing
12,policy
13,emerge
14,bank
15,unconventional
16,should
17,start
18,fed
19,brazil
20,continue
21,long
22,asia
23,inflationary
24,ecb
25,normalization
26,engage
27,security
28,give
29,limited
30,determine
31,sizable
32,afford
33,activity
34,stay
35,timing
36,leeway
37,part
38,be
39,approach
40,ready
41,stand
42,year
43,composition
44,accommodation
45,purchase
46,large
47,remove
48,take
49,prospects
50,real
51,essential
52,authority
53,less
54,precrisis
55,main
56,hike
57,further
58,short
59,room
60,increase
61,economy
62,asset
63,effective
64,ump
65,japan
66,example
67,higher
68,reach
69,low
70,datum
71,recede
72,undercut
73,explore
74,stimulate
75,expansionary
76,do
77,incentive
78,china
79,overinvestment
80,perspective
81,tighter
82,improve
83,right
84,exceptional
85,step
86,central
87,level
88,provision
89,feed
90,offset
91,anchor
92,rise
93,could
94,meantime
95,premature
96,stability
97,collateral
98,haircut
99,refinancing
